799783;church priest brown wooden chairs reading four ;2;top;3,3
799783;church priest wooden chairs reading book ;1;top;2
799783;church priest wooden chairs reading book monk ;1;top;1
799783;church priest wooden chairs book monk;5;top;7,2,4,5,2
595922;spectators camera judge advertise ;1;som;2
595922;spectators camera judge advertisement ;0;som;
595922;spectators advertisement cameraman;0;som;
595922;spectators advertisement cameraman fans ;2;som;1,4
595922;spectators advertisement cameraman fans audience ;2;som;1,6
609301;snow winter bobbing ;0;top;
609301;snow winter bobbing old ;0;top;
609301;snow winter bobbing tree ;0;top;
609301;snow winter tree house ;0;top;
609301;snow winter tree house kid ;0;top;
609301;snow winter tree house kid sled ;4;top;1,1,2,1
609301;snow winter tree house kid sled pulling ;3;top;2,4,1
312770;tree create stone man ;1;som;1
312770;tree create stone man words ;0;som;
312770;tree stone man words ;0;som;
312770;tree stone man words shirt ;0;som;
312770;stone man words shirt leafs ;0;som;
312770;stone man words shirt leafs tree ;8;som;4,7,5,3,5,2,3,3
312770;stone man words shirt leafs tree create ;10;som;2,3,4,5,4,7,3,3,7,2
733324;hand greensleeves shirt ;0;top;
733324;hand greensleeves shirt handshake ;1;top;1
733324;hand greensleeves shirt handshake grass ;6;top;3,6,9,6,7,1
733324;hand shirt handshake grass shoulder ;2;top;2,2
578004;screen man ;0;som;
578004;screen ;0;som;
578004;screen tree ;0;som;
578004;screen tree fog ;4;som;1,1,1,1
578004;screen tree fog city ;11;som;3,4,3,4,6,4,4,3,3,5,7
578004;screen tree fog city shine white ;0;som;
578004;screen tree fog city shine ;3;som;2,1,1
578004;screen tree fog city shine  whiteboard ;1;som;2
578004;screen tree fog city shine  whiteboard dark ;3;som;2,2,4
578004;screen tree city shine  whiteboard dark blurry ;0;som;
578004;screen tree city shine  dark blurry;0;som;
578004;screen tree city shine dark blurry;0;som;
578004;screen tree city shine dark blurry ;0;som;
578004;screen city shine dark blurry;6;som;1,3,6,5,8,4
578004;screen shine dark blurry;0;som;
578004;screen shine room blurry;0;som;
578004;screeen blurry shine room ;2;som;2,5
578004;screen blurry shine room 10 ;0;som;
578004;screen blurry shine room ;34;som;2,4,4,6,3,3,1,2,3,4,2,4,3,4,2,1,1,2,1,2,2,1,2,2,3,2,2,3,4,3,2,2,3,5
578004;screen blurry shine room dark ;6;som;2,1,1,5,4,2
633863;knife cutting garlic ;1;top;1
757607;wheelchair sport green ;6;som;1,2,2,2,4,1
405349;orange peel square ;0;top;
405349;orange peel square shirt ;0;top;
405349;orange peel shirt squares ;0;top;
405349;orange peel shirt squares peeling ;1;top;1
405349;orange peel shirt squares peeling hand ;1;top;1
405349;peel shirt squares peeling hand lemon ;1;top;3
380564;sing microphone black ;1;som;2
380564;sing microphone black woman ;5;som;3,1,1,1,1
380564;sing microphone black woman window ;3;som;1,2,2
380564;sing microphone black window 10 ;0;som;
380564;sing microphone black window;0;som;
380564;sing microphone black window singer ;2;som;2,1
380564;sing microphone black singer man ;6;som;1,1,2,2,2,3
828435;house garden armchair ;2;top;1,1
828435;house garden armchair tree chair ;2;top;2,1
783244;sidewalk city ;4;som;2,1,4,2
1003086;guitar man ;0;top;
1003086;guitar man yellow;0;top;
281943;bike jump helmet ;8;som;1,2,2,1,2,2,2,2
281943;bike jump helmet man ;21;som;1,2,2,1,2,3,1,2,1,2,5,3,2,3,2,2,2,2,2,2,1
281943;bike jump helmet forest ;7;som;1,1,1,1,1,2,1
281943;bike jump forest ;0;som;
281943;bike jump forest bicycle ;4;som;1,2,4,4
1080823;white house church ski ;17;top;1,1,1,3,3,4,2,1,2,1,2,2,1,2,3,3,5
744979;skate blurry ;10;som;1,1,2,2,5,8,7,5,6,5
541161;room fan window white bed ;4;top;2,6,1,1
1147086;man mask fire dark ;1;som;1
343;indian people ;2;top;1,1
343;indian people blue ;4;top;1,2,3,3
647700;suit gun man ski ;0;som;
647700;suit gun man sky ;2;som;1,1
647700;suit gun man sky dialogue ;0;som;
